Date,Open,High,Low,Close,Volume
2015-01-01,189.65743085018167,190.87715534273178,189.0903506676063,189.9998016357422,2963643
2015-01-02,190.04260071522322,191.74381271840838,189.22945580333513,189.49693298339844,7331366
2015-01-05,189.3792702851232,190.64180561024958,187.04679751673595,187.42127990722656,10103941
2015-01-06,186.1694487623213,186.81140833967845,178.03789888297737,178.91525268554688,18627980
2015-01-07,179.1292285310337,183.77276085280215,179.10783035701846,182.809814453125,20720312
2015-01-08,184.05096276070768,184.65014028561507,179.78191217385094,180.18849182128906,19872227
2015-01-09,181.54728059323858,184.45751798649138,180.8197283871731,184.09373474121094,13392787
2015-01-12,184.13657345955565,184.2435643466936,180.09220364975974,181.95388793945312,10100113
2015-01-13,182.53163606142144,182.94891476700133,179.85679270891694,180.42385864257812,9948711
2015-01-14,180.39177025551925,181.24772588423613,177.86671400685174,178.66917419433594,11380041
2015-01-15,179.74980999523677,186.40482855783029,179.74980999523677,184.9390106201172,16927085
2015-01-16,184.02954549231427,187.2393717003376,182.32834774405396,186.10523986816406,19136963
2015-01-19,186.2122662538906,189.59326422041164,183.76210335218167,188.2344512939453,13339962
2015-01-20,188.63029454489703,193.77669838636558,188.06321434843136,193.24172973632812,13361320
2015-01-21,193.6589944954715,195.0285061417366,190.88784537432815,194.03346252441406,17084297
2015-01-22,193.69110862891478,194.12978549981565,188.20231962566118,189.1117706298828,23721627
2015-01-23,190.44917003317502,192.11827040016072,187.66733608819882,189.7858123779297,18080494
2015-01-27,191.06975469986517,191.88291395176273,188.41630947001002,190.24591064453125,17939876
2015-01-28,189.61465072299592,194.68617592947535,189.61465072299592,194.05490112304688,19298126
2015-01-29,194.10837417270935,199.97164555622763,194.06557782256655,198.88031005859375,36117653
2015-01-30,199.00870306739893,199.2761945456081,194.51495765255618,195.85238647460938,21746801
2015-02-02,196.0235729278048,196.84743125784271,193.80880461402253,194.31167602539062,19302710
2015-02-03,195.41369812138836,201.33046471295063,195.41369812138836,200.635009765625,17092333
2015-02-04,200.9559917954961,201.96173460093706,198.13136124086165,198.75192260742188,14072894
2015-02-05,200.2926304255329,201.1271735293087,196.3552519765529,197.66058349609375,12365643
2015-02-06,197.7461920879739,199.00871307477848,193.23104827058498,194.7075653076172,9045844
