Date,Open,High,Low,Close,Volume
2015-01-01,366.75566015463204,369.18648845992266,364.5111242586098,367.7708435058594,2002764
2015-01-02,367.32371656694033,376.0877119017288,367.32371656694033,374.9980163574219,6778320
2015-01-05,374.3834408482607,378.12745693335086,368.3482985643849,371.7756652832031,9937024
2015-01-06,368.8139143543872,369.7452626229589,360.2641327013001,364.0081481933594,9667316
2015-01-07,366.0198682787039,367.8359973961173,363.22582348268327,365.7497863769531,7249916
2015-01-08,369.8569917030436,371.98047014128355,363.2257970833765,367.59381103515625,13564920
2015-01-09,368.83256582738363,392.8427306301899,356.3431982047694,386.4071044921875,44863328
2015-01-12,389.67605857252124,394.7425833172733,386.50947492255335,394.13720703125,12758888
2015-01-13,392.61921788155007,392.61921788155007,386.50956363586636,389.09869384765625,8801236
2015-01-14,390.88685694665065,397.3131598128215,389.78788421210663,396.50286865234375,9921260
2015-01-15,397.7229370578532,401.0013010014768,393.44805779869864,397.5459899902344,8342452
2015-01-16,400.1072736570508,402.34250982273267,393.4015651600053,394.5750732421875,6690960
2015-01-19,394.89167703998214,397.1921255187954,390.160445892258,391.6319580078125,4087744
2015-01-20,392.4702123748796,397.31322401310786,391.4364065645972,395.6740417480469,6804504
2015-01-21,397.0337266157061,405.3134027881929,394.51908654565585,404.18646240234375,8494908
2015-01-22,405.09929876484193,410.35209451086234,402.58465814936454,409.13201904296875,9958396
2015-01-23,409.79319055930085,414.4499313611111,403.29239859036755,412.5965576171875,9486328
2015-01-27,413.70490427550624,413.70490427550624,396.77301080509926,397.9651184082031,13739968
2015-01-28,400.4796989484496,401.3738022552521,396.8101963835139,399.46453857421875,13134356
2015-01-29,399.5484362113062,400.46113939034274,396.30736219187736,399.6415710449219,15369424
2015-01-30,402.6219122091063,402.81750446776584,396.18628568766394,398.97100830078125,10833744
2015-02-02,398.89647018670473,400.85230158383774,396.0186130832642,398.03033447265625,8702540
2015-02-03,398.0303637986403,398.6077724918846,391.53884758805077,395.059326171875,5265956
2015-02-04,398.59841735459065,400.479759064312,396.0837770069775,399.14794921875,5160016
2015-02-05,400.6288016797248,413.51865330930286,400.10723752629843,408.6383972167969,11875936
2015-02-06,410.7246711900271,418.6970231092329,407.6512212695575,415.47454833984375,7453728
2015-02-09,409.79322680989645,419.8517878315939,409.79322680989645,418.90179443359375,6536868
2015-02-10,417.8028758051534,428.047707802159,417.4303364598078,424.3782043457031,8516920
