ticker,fold,accuracy
INFY.NS,1,0.49404761904761907
INFY.NS,2,0.45535714285714285
INFY.NS,3,0.44642857142857145
INFY.NS,4,0.43154761904761907
INFY.NS,5,0.4226190476190476
