Date,Open,High,Low,Close,Volume,ret_1,log_ret_1,ret_5,ret_10,ret_20,sma_5,price_sma_5,sma_10,price_sma_10,sma_20,price_sma_20,sma_50,price_sma_50,sma_100,price_sma_100,sma_200,price_sma_200,vol_10,vol_20,vol_60,roc_10,roc_20,day_of_week,month,target
2015-10-21,207.04150538610523,211.2235019547477,206.4997965106401,206.93316650390625,14404450,-0.001776866755308859,-0.0017784472555449585,0.057644538332011885,0.045086639276137985,0.08757561623745014,203.4098693847656,0.01732117094316621,198.4488952636719,0.0427529275431926,192.80427322387695,0.0732810172916829,192.4848794555664,0.07506193260065963,202.07953414916992,0.024018426087391465,195.07520431518554,0.06078661934687313,0.020275037815758245,0.01899329428501622,0.020434174402671895,0.045086639276137985,0.08757561623745014,2,10,0
2015-10-23,208.8724730213134,210.8442983715975,203.93207575828225,207.0739898681641,12153422,0.0006805258269471093,0.0006802943742469456,0.0574858056299965,0.07485090789047666,0.12707872292326217,205.6612121582031,0.006869441715019242,199.89092559814455,0.03593491924921177,193.9716583251953,0.0675476595709803,192.42745819091797,0.07611456189747345,202.19524337768556,0.024128888538517135,195.1605751800537,0.0610441667181969,0.017119680040124183,0.016706902009259308,0.020293989398671223,0.07485090789047666,0.12707872292326217,4,10,0
2015-10-26,208.4282568385237,208.6666023454749,203.96456534631585,204.3004302978516,10938775,-0.013394050948061231,-0.013484560348723695,0.03066245976161741,0.06254560189421365,0.10877880848930466,206.8768096923828,-0.012453688735640234,201.09351806640626,0.01594736748494463,194.97382202148438,0.047835182075568694,192.32713287353516,0.06225485320466695,202.2910176086426,0.009933276884772413,195.2345925140381,0.046435611983883573,0.01816190493062501,0.01726072830070124,0.020346842935792444,0.06254560189421365,0.10877880848930466,0,10,0
2015-10-27,203.4228646181636,205.4705271397162,203.1195013146315,203.5853729248047,11601798,-0.00350002871753341,-0.00350616814768586,-0.024857269715745423,0.05360233883770715,0.12205151985489371,205.83889465332032,-0.01094798790243745,202.12926483154297,0.007203845986751389,196.08107528686523,0.038271401903323454,192.31261474609374,0.058616842132764635,202.38462478637695,0.005933000788449938,195.31541313171385,0.04234156260629507,0.01842278460308959,0.016712730937141342,0.020276507600175808,0.05360233883770715,0.12205151985489371,1,10,0
2015-10-28,203.01115402837877,204.7446337519029,201.4943665025292,203.02198791503903,11958727,-0.0027673157539355175,-0.0027711518509387547,-0.020643967721382772,0.04851148435477537,0.12310455911986029,204.9829895019531,-0.009566655221873388,203.06858673095704,-0.00022947328618450058,197.1937469482422,0.029555911670599677,192.32821563720702,0.0556016819601961,202.43717056274414,0.0028888832553291,195.43594680786134,0.0388159969088786,0.01858236042795162,0.01668572683729491,0.02026767041534154,0.04851148435477537,0.12310455911986029,2,10,1
2015-10-29,202.81614902892412,204.76630653335124,202.5886229390244,203.89956665039065,13280382,0.004322579757808587,0.0043132642449777775,-0.014659804925269637,0.042139675719787606,0.1192388805535669,204.37626953125,-0.002332476671350725,203.8930694580078,3.186568528357192e-05,198.2798759460449,0.028342214143178834,192.21575622558595,0.060784873489208024,202.50921783447265,0.006865607554982667,195.5413956451416,0.042743742201866164,0.018479259548607994,0.01668362931939854,0.02027616056954063,0.042139675719787606,0.1192388805535669,3,10,1
2015-10-30,204.137925328444,207.1281650994893,203.7045698234833,205.3513641357422,13366359,0.007120159739431031,0.007094931085981122,-0.008318889946142605,0.0486886975933527,0.09903753927567394,204.03174438476563,0.006467717829672592,204.8464782714844,0.0024647036576761483,199.20511703491212,0.030853861548912453,192.2027557373047,0.0684100930186895,202.6441035461426,0.013359681047828476,195.6672100830078,0.049492983768849586,0.01845562148600455,0.01602470735294502,0.02030145936206256,0.0486886975933527,0.09903753927567394,4,10,1
2015-11-02,205.63302896102584,208.34158743976616,204.80963910221067,207.9732208251953,7222044,0.012767661420159948,0.012686842020596088,0.017977399861513366,0.04919109092300289,0.10998036037362535,204.76630249023438,0.015661357830661027,205.8215560913086,0.010454030057629904,200.23544921875,0.038643365281399555,192.27079437255858,0.0816682871877592,202.80899978637694,0.02546347077426514,195.78660751342773,0.062244366285021835,0.018477757554803066,0.016112119905998135,0.020294194379519057,0.04919109092300289,0.10998036037362535,0,11,1
2015-11-03,208.72078391244088,210.28090697028475,208.2874139856285,209.57667541503903,11373522,0.007709908917511221,0.0076803394577310115,0.029428943760351878,0.0038401508521059835,0.08918899500814081,205.96456298828124,0.017537543227585717,205.90172882080077,0.017848060894314344,201.0935157775879,0.042185147565044545,192.32539855957032,0.08969838089338666,202.94204360961913,0.03269224891704714,195.92472160339355,0.06967958764938742,0.007766666469594158,0.015309397889973797,0.020320373605942296,0.0038401508521059835,0.08918899500814081,1,11,1
2015-11-04,209.75004270123327,211.26683028976163,205.0263232774512,206.13140869140625,10033187,-0.016439170612902787,-0.016575793155027666,0.01531568480980705,-0.005644459414420044,0.05929507348437557,206.5864471435547,-0.0022026539419222058,205.78471832275392,0.0016847235862702536,201.6704360961914,0.022120111809978305,192.4770770263672,0.07094004063231152,203.10271453857422,0.014912130346031338,196.05325935363769,0.05140516087819669,0.009202828888886334,0.015895282005695992,0.020398527053305308,-0.005644459414420044,0.05929507348437557,2,11,1
